
vendor,vendorVarietyName,normalizedName,type,productURL,notes
SeedSow,Seascape,Seascape,day_neutral,https://seedsnow.com/products/strawberry-roots-bundles-seascape,bare root (pre-order)
SeedSow,San Andreas,San Andreas,day_neutral,https://seedsnow.com/products/monterey-strawberry-roots-bundles,bare root (pre-order)
SeedSow,Jewel,Jewel,june_bearing,https://seedsnow.com/products/albion-strawberry-roots,bare root (pre-order)
WestCoastSeeds,Fresca,Fresca,alpine,https://www.westcoastseeds.com/products/fresca,seed
WestCoastSeeds,Mignonette,Mignonette,alpine,https://www.westcoastseeds.com/products/mignonette,seed
WestCoastSeeds,Yellow Wonder,Yellow Wonder,alpine,https://www.westcoastseeds.com/products/yellow-wonder,seed
WestCoastSeeds,Regina,Regina,alpine,https://www.westcoastseeds.com/products/regina,seed
WestCoastSeeds,Rose Berries Galore F1,Rose Berries Galore F1,alpine,https://www.westcoastseeds.com/products/rose-berries-galore-f1,F1 hybrid seed
WestCoastSeeds,Hot Pink Berri Basket F1,Hot Pink Berri Basket F1,alpine,https://www.westcoastseeds.com/products/hot-pink-berri-basket-f1,F1 hybrid seed
